repository_name,repository_url,observation_period,total_commits,commit_frequency,unique_authors,avg_commit_size,code_churn,avg_files_per_commit,merge_commits,avg_dmm_unit_size,avg_dmm_complexity,merge_commit_rate,project_id,dataset_type,indicator_planning_effectiveness,indicator_team_collaboration,indicator_coding_discipline,indicator_implementation_stability,indicator_change_manageability,indicator_configuration_management,indicator_design_quality,author_diversity_ratio,indicator_resource_distribution,proxy_SWE_1_score,proxy_SWE_2_3_score,proxy_SWE_4_score,proxy_SWE_5_score,proxy_SUP_1_8_score,proxy_MAN_3_score,repository_aspice_readiness_score,aspice_readiness_level
autoware,https://github.com/autowarefoundation/autoware.git,2022-08-01,11,11,3,12.818181818181818,141,1.6363636363636365,0,,,0.0,autoware-2022-08,Public repository-derived,67.74193548387096,53.2258064516129,80.64516129032258,99.42134846772655,79.03225806451613,100.0,,0.2727272727272727,29.03225806451613,73.38709677419354,90.03325487902455,79.83870967741936,99.71067423386327,77.41935483870968,50.0,80.04556001612595,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-09-01,12,12,5,10.75,129,1.4166666666666667,0,,,0.0,autoware-2022-09,Public repository-derived,70.16129032258065,70.96774193548387,85.48387096774194,99.41296221363562,83.87096774193549,100.0,,0.4166666666666667,44.354838709677416,77.01612903225808,92.44841659068878,84.67741935483872,99.70648110681782,84.94623655913979,61.827956989247305,84.70114082982391,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-10-01,8,8,5,9.375,75,1.5,0,,,0.0,autoware-2022-10,Public repository-derived,57.25806451612904,70.96774193548387,88.70967741935485,99.37522407022648,82.25806451612902,100.0,,0.625,64.51612903225806,69.75806451612902,94.04245074479067,85.48387096774194,99.68761203511323,84.40860215053763,64.24731182795699,84.33068997533562,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-11-01,17,17,8,25.58823529411765,435,2.5294117647058822,0,,,0.0,autoware-2022-11,Public repository-derived,80.64516129032258,92.74193548387096,70.96774193548387,99.62681169295408,66.12903225806451,100.0,,0.47058823529411764,48.38709677419355,73.38709677419354,85.29727681421898,68.54838709677419,99.81340584647704,86.29032258064517,73.9247311827957,82.3447171773005,High
autoware,https://github.com/autowarefoundation/autoware.git,2022-12-01,12,12,5,36.5,438,2.5833333333333335,0,,,0.0,autoware-2022-12,Public repository-derived,70.16129032258065,70.96774193548387,62.903225806451616,99.6289082564768,64.51612903225806,100.0,,0.4166666666666667,44.354838709677416,67.33870967741936,81.26606703146422,63.70967741935484,99.8144541282384,78.49462365591397,61.827956989247305,76.92174939323084,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-02-01,8,8,5,5.5,44,1.0,0,,,0.0,autoware-2023-02,Public repository-derived,57.25806451612904,70.96774193548387,96.7741935483871,99.3535595804916,95.16129032258064,100.0,,0.625,64.51612903225806,76.20967741935485,98.06387656443935,95.96774193548387,99.6767797902458,88.70967741935483,64.24731182795699,88.31829256125961,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-03-01,13,13,9,11.538461538461538,150,1.8461538461538463,0,,,0.0,autoware-2023-03,Public repository-derived,74.19354838709677,96.7741935483871,82.25806451612902,99.42763815829474,75.80645161290323,100.0,,0.6923076923076923,70.96774193548387,75.0,90.84285133721188,79.03225806451613,99.71381907914737,90.86021505376345,80.64516129032258,86.94197924456216,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-04-01,7,7,5,6.428571428571429,45,1.1428571428571428,0,,,0.0,autoware-2023-04,Public repository-derived,50.806451612903224,70.96774193548387,91.93548387096774,99.35425843499918,90.3225806451613,100.0,,0.7142857142857143,72.58064516129032,70.56451612903226,95.64487115298346,91.12903225806451,99.67712921749958,87.09677419354837,64.78494623655915,86.10069039667725,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-05-01,6,6,3,17.333333333333332,104,4.0,0,,,0.0,autoware-2023-05,Public repository-derived,46.774193548387096,53.2258064516129,77.41935483870968,99.39549085094622,51.61290322580645,100.0,,0.5,55.64516129032258,49.19354838709677,88.40742284482795,64.51612903225806,99.6977454254731,68.27956989247312,51.88172043010752,72.70167881535053,High
autoware,https://github.com/autowarefoundation/autoware.git,2023-06-01,4,4,4,4.25,17,1.25,0,,,0.0,autoware-2023-06,Public repository-derived,36.29032258064516,61.29032258064516,98.38709677419355,99.33469050878705,87.90322580645162,100.0,,1.0,90.32258064516128,62.096774193548384,98.86089364149029,93.14516129032259,99.66734525439352,83.06451612903226,62.63440860215053,84.84677681143482,High
